,label,full_m_text
1984,factual,"Riley June Williams, of Harrisburg was arrested after entering the U.S. Capitol on Jan. 6 and allegedly stealing a computer from Speaker Nancy Pelosi’s office.  https://t.co/KhWVm4zZQh"
2714,misinformation,WARNING: GRAPHIC CONTENT President Trump tweeted that a 75-year-old man critically injured by police in Buffalo could be a member of the anti-fascist movement Antifa   https://t.co/0v6fx7IHib https://t.co/vXtkUzdX8J
2071,misinformation,"المقاومة الفلسطينية تطلق صاروخ على
طائرة أسرائيلية تحمل خمسة ضباط وتسقطها 
#فلسطين_تقاوم  https://t.co/BKmGhrqn5K"
4426,misinformation,"A video of protest held in Assam's Goalpara in 2017 against the alleged harassment of D (doubtful) voters by the Border Police and Foreigners Tribunals has been shared as ""Bangladeshi Muslims"" demanding a separate state. #AltNewsFactCheck | @akhmxt

 https://t.co/Ki49EZjEYp"
592,misinformation,"Because Trump LOVES OUR TROOPS! 
 https://t.co/FJoIZ9cL5R"
4577,misinformation,"21 mil pessoas mortas estão como eleitores ativos do estado da Pensilvânia, diz processo  via @estudosn https://t.co/8ek55NeVZt"
803,misinformation,"Updated Map Of India, Reflecting The Newest Union Territories .. 
J &amp; K And Ladakh  https://t.co/UW7ifg6qB5"
4635,misinformation,"Un avión de Pakistan International Airlines (PIA) se ha estrellado este 22 de mayo cerca del aeropuerto pakistaní de Karachi. El vuelo PK 8303 transportaba a bordo a 107 personas, incluidos los miembros de la tripulación

SEPA MÁS:   https://t.co/39wCkgmka5 https://t.co/mXST85z8vQ"
1572,misinformation,"Praying for the crew of Indonesia submarine KRI Nanggala-402

 https://t.co/O3i5rQvg7G"
3524,misinformation,"Trump govt in USA collaborating with Ohio to set up concentration camps for youth with COVID-19
 https://t.co/5saPKyIwcB"
888,misinformation,"A 2019 video of Nihang Sikhs attacking a bus after it injured one of their horses was falsely linked to the farmers' protest by Sudarshan News. #AltNewsFactCheck | @HereisKinjal 

 https://t.co/DGQYJ4FBJo"
3537,misinformation,"Economists from the University of Massachusetts declare, “Medicare for All could reduce total health care spending in the U.S. by nearly 10 percent, to $2.93 trillion, while creating stable access to good care for all U.S. residents.”  https://t.co/5zufX4xwbX"
1630,misinformation,"Circula en redes una foto de Greta Thunberg con el magnate George Soros

🔍Verificamos y descubrimos que es un montaje
En la fotografía original, tomada en 2018, la joven sueca en realidad posa con Al Gore #AFP

➡  https://t.co/V9gvYadlun https://t.co/AQbnSaX5L5"
3337,misinformation,▪️ Austriacki polityk Michael Schedlitz przeprowadził w parlamencie test na koronawirusa. Zrobił to na coca-coli. Wynik okazał się pozytywny na COVID-19. Test na żywo w austriackim parlamencie [WIDEO]  https://t.co/aPpRMhcNq5
267,misinformation,"Bolsonaro SURPREENDE o mundo mais uma vez.
Primeiro foi a fábrica de vacinas construída em SIGILO ABSOLUTO. 
E agora com mais uma SURPRESA. Surge uma fábrica da TECNOLOGIA 5G em solo brasileiro, frustrando e acabando com a polêmica de que o Brasil adotaria o 5G da  HUAWEI CHINESA  https://t.co/L68amE6noG"
551,factual,"✔️Notizia Vera 
@LegaSalvini e @FratellidItalia si sono astenuti dal voto alla #Camera sulla ripresa delle #messe #FactaNews
→ 
#facta #news #notizie #factchecking #covid19 #fakenews https://t.co/bzu8nUSsms"
4767,misinformation,"A photo of Narendra Modi before he became Gujarat CM or the Prime Minister was shared by Gajendra Chauhan with the false claim that he is seen visiting a camp in Barmer housing Hindus displaced from Pakistan. #AltNewsFactCheck | @stoic_annu 

 https://t.co/ohbz1rdd8B"
1824,misinformation,"There is open talking about voter fraud. @gatewaypundit 

 https://t.co/MnUXpWZo2a"
4146,misinformation,"A morphed image was shared to portray that West Bengal CM Mamata Banerjee got up from the wheelchair and walked after her hospital release. It is viral with false claims suggesting she faked her injury. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/jcRn8QSEG4"
3054,misinformation,"01) ""HOMEM MORRE DE ATAQUE CARDÍACO APÓS RECEBER A VACINA CONTRA COVID-19"".

Diante da gravidade da situação, VERDADE DOS FATOS traz ao conhecimento de todos essa importante notícia pouco divulgada no Brasil (28/12):
👇
  https://t.co/d7hwleKxop https://t.co/ZqG1bcLvNc"
152,misinformation," In a shocking claim, the Prez of Madagascar has said that the WHO offered $20m bribe to poison COVID-19 cure. The herbal remedy called COVID-19 Organics made from Artemisia can cure COVID-19 patients within ten  It was Bill Gates's dirty money! https://t.co/zUSDHOB6ID"
3249,factual,"If I checked my coat at a restaurant and they lost my coat, they would be liable. A dry cleaner gives you a slip for your dry cleaning, and would be out of business quickly if they regularly lost customer goods.

But losing THOUSANDS of immigrant children?  https://t.co/WoZyVplug8"
1788,misinformation,WATCH: Video of Man Claiming to Be Burning Stolen Trump Ballots Goes Viral on Social Media via @gatewaypundit  https://t.co/sp1rLt9b2x
4418,misinformation,"A photograph of PM Modi greeting the CFO of a Delhi-based NGO in 2015 has been morphed to falsely portray that he bowed down to Nita Ambani. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/5CbsHTYyZZ"
780,misinformation,"[SALAH] “Coronavirus akan hancur dengan air”

Ahli kesehatan: air biasa tidak bisa membunuh virus. Rekomendasi lembaga kesehatan: mencuci tangan dengan air dan sabun untuk dapat membunuh virus.

Selengkapnya di  #CoronavirusFacts  https://t.co/UIts0gMYCS https://t.co/mOsAA17req"
2529,misinformation,"COVID‐19 vaccines: one step towards the beginning of the end of the global impact of the pandemic @doctimcook 
 https://t.co/qVBMjl2scw"
2954,misinformation,"É #FAKE que motociata a favor de Bolsonaro entrou para o Guinness Book e reuniu 1,3 milhão de motos  #FatoOuFake  https://t.co/emcReXthmg https://t.co/OhmJ4h19nA"
4694,misinformation,Melhora em todos os 80 casos (menos 1) de administração da hidroxicloroquina e azitromicina do grupo de estudos do epidemiologista francês Didier Raoult - Conexão Política  https://t.co/HjnI7GOHC8
4347,misinformation,"एक तस्वीर शेयर करते हुए कहा जा रहा है कि कांग्रेस कार्यकर्ता मिया खलीफ़ा के पोस्टर को केक खिला रहे हैं. असली तस्वीर 2007 में राहुल गांधी के जन्मदिन पर ली गयी थी. वायरल तस्वीर में राहुल गांधी की जगह मिया खलीफ़ा की तस्वीर लगा दी गयी. | @Pooja_Chaudhuri 
 https://t.co/rDcztOccXN"
4387,misinformation,Merck stellt Entwicklung zweier Impfstoffe ein – sich zu infizieren und gesunden ist wirkungsvoller  https://t.co/GLyMacA7PI
2993,misinformation,"o bolsominion LUTA PELO DIREITO DE MENTIR
 https://t.co/eqaZMDxzwd"
2566,misinformation,"Προφανώς οι διαδηλωτές δεν ρώτησαν τους συντρόφους του ΣΥΡΙΖΑ, αλλιώς θα γνώριζαν ότι η Κούβα έχει δικό της εμβόλιο, έχει το καλύτερο σύστημα υγείας και γενικότερα είναι επίγειος παράδεισος.  https://t.co/OTXzVueDYh"
2892,misinformation,"Souriez ! 📸

62 images prises par la caméra WATSON ont été assemblées pour produire ce selfie de @NASAPersevere et Ingenuity 🚁 
 https://t.co/ORenMWLM9N"
2510,misinformation,"Ultraważne! Skuteczność szczepionek przeciw COVID-19 - obalam mit.

  https://t.co/O6k0BGi2wD https://t.co/OhSE4Fdtrd"
1514,misinformation,Neige au microscope  https://t.co/RgZPhYfzE4
785,misinformation,"Pulwama attack a BJP conspiracy like 2002 Godhra riots, says Shankersinh Vaghela  https://t.co/1lEdBVXbo8"
4114,misinformation,"#DidYouKnow

Sudha Murti (Wife of #Infosys founder Narayan Murthy whose wealth is over 2500cr) sells vegetables in front of Venkateshwar Temple for 1 day every year to get rid of any kind of EGO अहंकार

🙏 #Plants4SSR #NCBArrestStarted 
#JusticeforSushantSingRajput  https://t.co/4Te1TQOETI"
2167,misinformation,Brazil’s ‘proud homophobe’ Jair Bolsonaro just tested positive for coronavirus after dinner with Donald Trump  https://t.co/9BxW2W77QI
1689,misinformation,"A Facebook meme falsely claims that the California attorney general “bragged there are now 10 Million Illegal Aliens” in the state. In fact, he was talking about immigrants -- not those living in the state illegally.  https://t.co/aB1kcjA3zY"
1378,misinformation,Report: Wisconsin Election Clerks May Have Illegally Altered Thousands of Ballots  via @BreitbartNews https://t.co/YOmIxo9axt
4574,misinformation,É #FAKE foto que mostra Schwarzenegger usando camiseta com estampa pró-Bolsonaro  #FatoOuFake  https://t.co/sMDJaS0ySA https://t.co/euYYAL8Qsq
1025,misinformation,"Vice President Mike Pence informed members of Congress that he does not believe he has the power to ""reject electoral votes unilaterally,"" essentially denying President Donald Trump's public demands that he help overturn the results of the 2020 election  https://t.co/6cQ6B9vUbH"
3652,misinformation,"Non, l’Europe n’a pas interdit le camembert « fabriqué en Normandie »  https://t.co/kwFpx5nbh6"
561,misinformation,"The Aftermath of the Beirut Explosion - 23 images of the widespread damage in Beirut, a day after the devastating blast.   https://t.co/HRi3smQgjQ https://t.co/XfasSQP5Jz"
2961,misinformation,Deputadas extremistas vão à ONU contra denunciar estupradores  via @estudosn https://t.co/peIXykg9PD
63,misinformation,"Teléfono para la Casa Rosada...

Donald Trump: “La OMS admitió que yo tenía razón, las cuarentenas están matando países en todo el mundo” - Infobae  https://t.co/YjBwXOVypU"
2252,misinformation,"BREAKING NEWS: Charles, Prince of Wales, the 71 year-old Heir to the British Throne, Duke of Cornwall and Rothesay, has tested positive for the novel coronavirus. The date of infection has been traced to 13 March. Prince Charles last met with the 93 yo Queen on the 12th March.  https://t.co/Hr5zPIyKaM"
146,misinformation,"Foto de uma família turca acabada de chegar à Alemanha, há 50 anos.
De camisola amarela está Uğur Şahin, agora um famoso médico e imunologista alemão, director da empresa BioNTech que produziu a vacina contra o coronavírus.  https://t.co/M3HRByjelj"
4212,misinformation,"BOMBA: General Mourão, o vice de Bolsonaro, era torturador!!!
VÍDEO: ""Geraldo Azevedo sobre Mourão na ditadura: 'Era um dos torturadores'""  via @noticiaaominutobr https://t.co/arlzPQbA9L"
2435,misinformation,"ONU convida Lula para discursar, após fiasco de Bolsonaro  https://t.co/5u4BirbKDc"
2484,misinformation,Cidade do México diz que ivermectina reduziu internações por Covid-19 em até 76%  via @agoranoticiasbr https://t.co/2UU3hRT9Mp
3009,misinformation,كان الامير فيليب كثير المزاح مع زوجته الملكه اليزابيث الى درجه تنكر بملابس حراس القصر  https://t.co/AOKAEhEIBf
4764,factual,"#MoteraStadium Renamed As Narendra Modi Stadium – Free PDF Download
  https://t.co/5dDdd4NQxl https://t.co/CaRUWteFlA"
2888,misinformation,"Rahul Gandhi’s tweet has been morphed by BJP IT cell. In his original tweet, Rahul Gandhi has referred to Sushant Singh Rajput as an actor and not a cricketer.
#SushantSinghRajput
 https://t.co/q5mBn3Sum4"
2003,factual,"إميليا كلارك بجانب لوحة عربية مكتوب عليها (تجرأنا على الحلم ولن نندم على الكرامة)، حيث نشرت الصورة وعلقت: 

""اساند الملايين من السوريين الذين يحاربون من أجل السلام والكرامة"".

#الذكرى_العاشرة_للثورة_السورية  https://t.co/aVWlRWJPQn"
325,misinformation,"In a strange twist of logic the author tells us Russia is against vaccination, which is actually a must in Russia.  https://t.co/QKsUMprm9K"
1777,misinformation,Virginia Democrats Push Legislation to Make Criticism of Government Officials a Criminal Offense  via @BigLeaguePol / what is with Democrats and them seeking tyrannical power? Why do they fear freedom so badly? #MorningJoe #CNN #1A #FoxNews #Constitution https://t.co/XFkiVuxyii
2668,misinformation,"Watch: New President Joe #Biden tells reporters that outgoing president Donald #Trump left him a ""very generous"" letter in the Oval Office, in keeping with tradition.

  https://t.co/efvigpoekl https://t.co/tcbY4sjmXh"
4199,misinformation,"❗Leia o texto, na íntegra, clicando no site abaixo.

🔴 Mandetta renova contratos de publicidade de R$ 1 bilhão firmados no governo Dilma.

  https://t.co/r1fPSMvSJQ"
365,misinformation,"#Russia registers the 'world's first' #COVID19 #vaccine, before completing stage 3 trials. Plans mass production in September and mass vaccination drive in October.    https://t.co/lldXsBI7kS https://t.co/MW8mBYK5xZ"
2055,factual,"Heads Up! A Used Chinese Rocket Is Tumbling Back to Earth This Weekend. The chances of it hitting a populated area are small, but not zero.
""major cities like New York could be hit by debris.""

 https://t.co/t5T4ZGSrv7"
2884,misinformation,"Rahul Gandhi’s tweet has been morphed by BJP IT cell. In his original tweet, Rahul Gandhi has referred to Sushant Singh Rajput as an actor and not a cricketer.
#SushantSinghRajput
 https://t.co/q5mBn3Sum4"
1655,misinformation,HE CANT EVEN REMEMBER THE PLEDGE:  https://t.co/nNbprvQPw6
1181,misinformation,Update: Paul Pogba says he is taking legal action after dismissing reports he quit France national team  https://t.co/aB4Gic8d8R
2812,misinformation,"Los colectivos LGTBi piden que ser homosexual garantice una “renta mínima universal”: 
Lo que me faltaba por leer.
Te tienes que estar muriendo para que te den una pensión y van estos que NO están enfermos a pedir una paga .Se excluyen ellos solos ‼️ https://t.co/PTa9UHwRvp."
2063,misinformation,برج القاهره يتزين بعلم فلسطين الحبيبة ❤️🕊  https://t.co/0NPS2Khndi
367,misinformation,"“From this morning we have brought a special drug used in China which has claimed to have resulted in improvements in intensive care patients, cutting their time in care from 11-12 days to four days”  https://t.co/u3iaUn8luR"
4002,misinformation,"Nach Schätzungen der Behörden kamen am Samstag rund 38.000 Menschen in Berlin zusammen, um gegen die Corona-Maßnahmen zu demonstrieren.  https://t.co/DdA9mUr7my"
3771,misinformation,"Usa 2020, Joe Biden è il candidato presidente più votato di sempre  #joebiden   https://t.co/CdkmYs5zBz https://t.co/gk4I1MYZiN"
4044,misinformation,The Indian Air Force today crossed the Nepal border to launch an air strike on the Kot Khadk Singh area of ​​Nepal.  Nepalese forces retaliated by hitting an Indian jet and killing two Indian pilots  https://t.co/iRUilyRHl9
4406,misinformation,"Putin's house in Sochi, Russia designed by Roman Vlasov
#EvilBuildings  https://t.co/u17mZ0XmFh"
4735,misinformation,"Trump tested negative for  Coronavirus .
  https://t.co/yevZgIntUy"
3889,factual,How Marcel Marceau Started Miming to Save Children from the Holocaust  via @openculture https://t.co/wgFv1KxJXV
4639,misinformation,CCTV footage captures moment when the PIA plane crashed near Karachi airport  https://t.co/W3TvM1cYXB
3542,misinformation,"Do. Not. Tweet. Me. #Birtherism.

Trump's False claim Clinton started Obama birther talk  via @PolitiFact https://t.co/wDG8xoGoGD"
4067,misinformation,"A 2016 wedding photo of Hindu-Muslim couple Ashita and Shakeel from Mysore is circulating with the false claim that BJP leader Kapil Mishra's sister is married to a Muslim man. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/w4vCFYjHAE"
1688,misinformation,Trump Tries to Downplay Role of “Low Level Volunteer” George Papadopoulos   https://t.co/OW35aBYj3j
2678,misinformation,President Donald Trump continued a presidential tradition by leaving a letter for incoming President Joe Biden at the Oval Office on Wednesday.  https://t.co/atoGI2174H
1621,misinformation,"Using term 'illegal alien' in New York City could result in fines of up to $250,000  https://t.co/D9eFayCzb0"
3935,misinformation,"Para tentar deslegitimar o processo eleitoral,o bolsonarismo espalha que há fraude nas urnas eletrônicas e que o Brasil é o único no mundo que as usa.Mentira.Canadá, México, Argentina, Rússia, Índia, França e Namíbia, entre outros, utilizam urna eletrônica. https://t.co/Ca0uOATwGZ"
1112,misinformation,"It was seen Pakistan Soldiers coming up with white flag to take back the bodies of Pakistani special force BAT, that were shot by Indian Army Yesterday.
#india #pakistan #PakistanArmy #Pakistani #PakArmy #paksoldiers #indianarmy #bsf #iaf #indiannavy  https://t.co/a3d0oZajoe"
1718,misinformation,Hillary: 'Director Comey Said That My Answers Were Truthful' [VIDEO]   https://t.co/qcNsvRf93z https://t.co/kSEnR7lkY8
323,misinformation,Americans always said they had no troops in Ukraine. And now this.  https://t.co/Ru7wwX31h6
550,misinformation,"El presidente de Brasil,  Jair Bolsonaro, se volvió a hacer la prueba de coronavirus y mira lo que pasó (+detalles) 👇  https://t.co/cnaqRmECRi"
787,misinformation,رحلة الخطوط الاثيوبية قبل قليل قادمة من إيطاليا الى مطار أديس ابابا معظم الركاب مصابون بفايروس كورونا..  https://t.co/Ah9oLwGThf
2797,misinformation,"Exposed! How BJP is communalising inter-party clashes in Bengal (under control in 2 days) by stitching together old videos. BJP claims 10 workers killed, Trinamool claims 8 workers killed. Fairly even — no one is innocent— but DO NOT COMMUNALISE !!   https://t.co/5i9StkumdJ"
1135,misinformation,"Paul Pogba reportedly ‘quit playing for France’ after Macron’s remarks on ‘Islamist terrorism’

@paulpogba  https://t.co/mCeWybtiNw"
396,misinformation,"China will never seek hegemony, expansion, or a sphere of influence no matter how strong it may grow, President Xi Jinping said Tuesday. #GLOBALink  https://t.co/ocP0Ym5ZQ2"
3809,misinformation,Biden's Climate Requirements: Cut 90% of Red Meat From Diet; Americans Can Only Eat One Burger Per Month  via @gatewaypundit https://t.co/14HqLcWS7o
1934,misinformation,".#الجزائر تزرع 150 مليون شجرة نخيل في #الصحراء_الكبرى
 والتي سيكون إنتاجها 12 مليار دولار سنويا كما ستقل الحرارة 7 درجات مئوية.... 
الأوطان تبنيها العقول المخلصة ✋
وفي ليبيا تحفر المقابر لشباب في عمر زهور  https://t.co/6OJ8l9Oa8p"
1580,misinformation,"माली की महिला ने दिया रेकॉर्ड 9 बच्‍चों को जन्‍म, अस्‍पताल से सामने आईं अद्भुत तस्‍वीरें
 https://t.co/N240Ou2wbm"
2333,misinformation,CDC investigating heart inflammation in young people who receive COVID vaccine  https://t.co/9gMoumgksP
609,factual,"[Video] Wanita Ini Asyik Senam Aerobik di Tengah Kudeta Militer Myanmar.

Di tengah kudeta yang dilakukan militer Myanmar, viral video seorang perempuan melakukan senam aerobik dengan santai. Dia seolah tidak sadar bahwa di belakangnya ada konvoi militer.  https://t.co/OJtSosrwAG"
3738,misinformation,Qué se sabe de la enfermera de EE UU que se ha desmayado tras recibir la vacuna de Pfizer contra la Covid  https://t.co/AQIwumIwtk
3383,misinformation,"Last night, RCN broadcast 30 minutes of hardcore pornography live on CNN just to its Boston customers:   https://t.co/dRn8z2KYT2 https://t.co/MNGeIUhdhN"
3243,misinformation,"#WebQoof | We found that the viral image is a doctored one and New York Times didn't carry any such image and text in its international edition on Friday, 21 May.

Read our fact-check here:   https://t.co/zBC1AFFXAH https://t.co/Lu7HVr3fKR"
2320,misinformation,"Una sentencia del Tribunal de Lisboa dictamina que solo el 0,9% de los 'casos verificados' murieron realmente de COVID en Portugal: 152 personas en vez de 17.000  

 https://t.co/vhFL1HJDw0"
921,misinformation,"एक दस्तावेज़ की तस्वीर शेयर करते हुए कहा जा रहा है कि मृत्यु प्रमाणपत्र पर भी PM मोदी अपनी तस्वीर छपवा रहे हैं. ये दावा ग़लत है. ये तस्वीर दरअसल वैक्सीन लगने के बाद मिलने वाली सर्टिफ़िकेट की है. पढ़िए #AltNewsFactCheck | @stoic_annu 

 https://t.co/3ASdbO3PHB"
190,misinformation,"🔴 🔴  رئيس أبحاث فايزر: لقاح كوفيد هو تعقيم للإناث
.
.
. للسادة الأفاضل بتوع وين المصدر؟؟؟
اتفضلوااااااا

 https://t.co/vQtj05f68Q"
3189,misinformation,"The good old Gujarat Model is back. It is a shame that mayor of 
Ahmedabad Mayor Bijal Patel doesn't recognize her own city and ends up tweeting an image from Seoul as Sabarmati Riverfront in Ahmedabad.
  https://t.co/k03LKuzYif"
3147,misinformation,"#WebQoof | The video is not of the PIA flight crash, but is an old video from a bus accident that took place in Pakistan in September 2019.

 https://t.co/8nl9SPpgH6"
104,misinformation,"VIRAMOS CHACOTA INTERNACIONAL
""Estudem e dediquem-se ao máximo, pois ninguém aqui frita hambúrguer, o único lugar do mundo onde alguém q frita hambúrguer vira embaixador é no Brasil”, disse Sophie Trudeau em inauguração de complexo universitário no Canadá
 https://t.co/gbd8wR3A8C"
4019,misinformation,"J'ai tout lu.

En résumé, ne vous approchez plus des vaccinés.
 https://t.co/W6BnVGtVPH"
1976,misinformation,Hollywood blockbuster “I Am Legend” (2007) was set in 2021 with a plot centred around a zombie apocalypse caused by a failed vaccine 👀🤯 #URFacts  https://t.co/rI1dF4l2el
4649,misinformation,WATCH: Security video footage shows the Pakistan International Airlines passenger plane as it crashed in Karachi Friday. PK 8303 went down with 91 passengers and 7 crew on board   https://t.co/OuFskZrFZy https://t.co/rFmbDwyzy8
1508,misinformation,"A photo from 2013 of a room full of coffins is viral on social media with false claims that it shows patients who died following the recent outbreak of #coronavirus in Italy. #BOOMFactCheck #FakeNews #COVID19outbreak #CoronaVirusFacts #CoronaUpdatesIndia

 https://t.co/pTRLjU0iYt"
2188,misinformation,"""So what?"" Colin Powell had asked when RW in the US asked if Obama was a Muslim.

""So what?"" sensible Indians are asking as RW in India alleges that Disha Ravi is a Christian. 

She is an Indian, a conscientious one at that, and that's all that matters. 

 https://t.co/oFvvf220c6"
2379,misinformation,Schumer tells Republicans not to vote on Supreme Court nominee until after midterms   https://t.co/GR9DbkNy8m https://t.co/w3S48riYGy
3241,misinformation,"Did New York Times print a crocodile on front page with title ""India's PM cried""? No, It was edited by a satire Twitter handle. Following yesterday's PM Modi's break down in tears while addressing on TV, a photo claimed as front Page of The New York Ti..

  https://t.co/Z5T9Niydgi https://t.co/Jom9EURHte"
4782,factual,Ders kitabına 47 sayfa AKP dönemi eklendi | Anadolu Üniversitesi Açıköğretim Fakültesi İnkılap Tarihi ve Atatürkçülük ders kitabına ‘Adalet ve Kalkınma Partisi Döneminde Türkiye’ başlıklı 47 sayfalık bir konu eklendiği ortaya çıktı. Konu güz ve bahar dönemlerinde işlendi.  https://t.co/sr6Bo1bClA
2514,misinformation,Mascarillas no producen hipoxia: Especialistas aclaran tema tras aparición de fake news ➡   https://t.co/iogyGRIFJA https://t.co/12c5JhqUVR
1806,misinformation,"Johns Hopkins Study Mysteriously Disappears after it Revealed In Spite of COVID, No More Deaths in 2020 Than In Prior Years  https://t.co/n8gbpZYzYa"
1369,misinformation,Wut? No WAY!1!1!  https://t.co/rMbqipRGYO
1000,misinformation,"No, the person who slapped Hardik Patel is not a Congressman

 https://t.co/FIP0xRmeUZ"
3632,misinformation,Macron se lave les mains dès qu'il touche un ouvrier ? De la blague à la fake news   https://t.co/Gz1em4P6h1 https://t.co/SVx1T41zkj
1613,misinformation,Cotton: Durbin 'Has a History' of Misrepresenting What Happens in WH Meetings  https://t.co/0NHwH8QitG
2338,misinformation,"A popular message circulating on social media with reference to the French Nobel laureate, Luc Montagnier, claims that everyone who has taken any COVID-19 vaccine will die in two years.

Dr. Shahid Jameel looks at the science and the evidence.

 https://t.co/ZKGayhNUMt"
3518,misinformation,"Donald Trump is now the worst Jobs president in American history. It’s time to face the facts, folks: Cutting taxes for the rich and taking away all tax breaks for everyday Americans didn’t trickle down to anything. It looks plunged us into poverty and #TrumpDepression #ByeDon 🇺🇸  https://t.co/c5bUrEerKV"
3979,misinformation,"Closest pic of Saturn, from inside its rings, by the Cassini Spacecraft  https://t.co/EuuJfXYFnZ"
4155,misinformation,"In an attempt to claim that Mamata Banerjee faked her injury, an image shot after the West Bengal CM's hospital discharge was morphed to falsely claim that she stood up from the wheelchair. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/sylD2N4t5Z"
617,misinformation,"¿Sabías que en Toronto (Canadá) se lleva a cabo un bello festival en el que la calle se convierte en un río completo de libros donados y cualquiera puede tomar el que más le guste?

¡Buenos días! 💚✨  https://t.co/KVgaMEBxS1"
1762,misinformation,"""It is completely absurd,"" @KBeds said. 

""Of course he's not wearing an earpiece, and we never asked for breaks."" 

  https://t.co/GqJn1CA4Q2"
752,misinformation,"Bhutan stopped releasing channel water for Indian farmers along its border near Assam.
It happened amid growing tension between India and China due to recent clash along the Line of Control.👇
#laddakhBorder #NepalIndiaBorder #Bhutan  https://t.co/iM3EFRMr6x"
1736,misinformation,"BOMBSHELL: Fulton County Numbers Show Massive Duplicate Ballots, Rejected Ballots, Non-Citizens Trying To Vote - Big League Politics  https://t.co/neQ8HhEJnf"
698,misinformation,"Fake Video Alert🚨
බහරේන් රජුගේ අලුත්ම රොබෝ ආරක්ෂකයා සමග ඩුබායි වෙත පැමිණි අවස්ථාවක් යනුවෙන් සදහන් වීඩියෝවක් සමාජ මාධ්‍ය හරහා සංසරණය වේ. එහි සිටින්නේ බහරේන් රජතුමා නොවන අතර, එම රොබෝ රජතුමාගේ  ආරක්ෂකයකු නොවේ.
Fact Checked🔎

#SriLanka #LKA https://t.co/Hd40lMrsrT"
701,misinformation,"#CoronavirusFacts  Nobel laureate Tasuku Honjo hasn’t claimed that ‘coronavirus is man-made’

 https://t.co/3ixI0t8Van"
4686,misinformation,"In Sozialen Netzwerken verbreitet sich die Behauptung, nur sechs Prozent der US-Corona-Toten seien an #Covid19 gestorben. Das ist falsch. Die Prozentzahl bezieht sich auf die Anzahl derjenigen, die ohne Vorerkrankung verstorben sind. #CoronaVirusFacts  https://t.co/goyjwopVAG"
1715,misinformation,"Our item on Trump's bogus claim that Ted Cruz’s father “was with Lee Harvey Oswald prior"" to JFK assassination:   1/2 https://t.co/KjGCL14DsV"
2415,misinformation,"Watch this footage and you will notice that it is a Rocket or drone attack.
#Beirut.
#Beirutexplosion.  https://t.co/FuKzj9eeE7"
3050,misinformation,"Boletim de fake news - 16/08, 21h 
Novas
- Eto'o pagou fiança Ronaldinho - 
- Alho com vinagre cura Covid-19 - 
- Boulos dono de jatinho - 
- Fogos artifício Japão Olimpíadas -  https://t.co/McYGxmIKlZ https://t.co/8owRve4ak5 https://t.co/OB11jxtZYl https://t.co/v0jxZFaZb7"
4771,misinformation,".@thewire_in rubbished claims that they had offered to apologise to #JayShah, son of HM Amit Shah in #SupremeCourt in a criminal defamation case filed against the news website. The viral claim also falsely stated that The Wire had lost the case. #FakeNews

 https://t.co/UJpNNaDn4a"
3127,misinformation,"Super blue blood moon 
         July 27,2018  https://t.co/qumXKNkEXC"
1203,misinformation,Si te vas a vacunar  preocúpate de dejar todos tus asuntos en orden y el testamento hecho  https://t.co/0fCMDObAm7
2599,misinformation,"La vida debería de ser al revés.
#QuinoDEP  https://t.co/c6c9zNzFEm"
3782,misinformation,"QUE QUE É ISSO RAPAZ😱
Coca-Cola faz campanha ""Como ser menos branco"" para seus empregados!!
Conteúdo de curso para funcionários afirma que ser branco é ser opressor, arrogante, abusivo e ignorante. Não sabemos se os ursos polares serão demitidos!!   https://t.co/MGn1MPCIII"
2663,misinformation,"Y esto amigos míos es una aberración social.
Holanda aprobará una «pastilla letal» para los mayores de 70 cansados de vivir  vía @ABC_Conocer https://t.co/oJWe80LPek"
4634,misinformation,CCTV video shows PIA plane crashing into Karachi building   https://t.co/RPwHg6kP1t https://t.co/jba0HqRlCy
4278,misinformation,"El 82% de pacientes con covid-19 tiene falta de vitamina D, según estudio  https://t.co/lwgz0I9Bqi"
